,tweet_id,jpg_url,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,timestamp,text,rating_numerator,rating_denominator,name,dog_class,favorite_count,retweet_count
0,667937095915278337,https://pbs.twimg.com/media/CUT9PuQWwAABQv7.jpg,hamster,0.172078,False,guinea_pig,0.0949242,False,band_aid,0.0599952,False,2015-11-21 05:26:27+00:00,This dog resembles a baked potato. Bed looks uncomfortable. No tail. Comes with butter tho. 3/10 petting still fun https://t.co/x89NSCEZCq,3,10,None,,1161,736
1,668113020489474048,https://pbs.twimg.com/media/CUWdPsqWcAERQVv.jpg,pembroke,0.548896,True,cardigan,0.191101,True,collie,0.0598141,True,2015-11-21 17:05:31+00:00,This is Alfie. He's that one hypocritical gym teacher who made you run laps. Great posture. Cool bench. 6/10 https://t.co/GCJzm3YsfX,6,10,Alfie,,623,217
2,668142349051129856,https://pbs.twimg.com/media/CUW37BzWsAAlJlN.jpg,angora,0.918834,False,hen,0.037793400000000005,False,wood_rabbit,0.0110149,False,2015-11-21 19:02:04+00:00,This lil pup is Oliver. Hops around. Has wings but doesn't fly (lame). Annoying chirp. Won't catch tennis balls 2/10 https://t.co/DnhUw0aBM2,2,10,None,,540,258
3,668154635664932864,https://pbs.twimg.com/media/CUXDGR2WcAAUQKz.jpg,arctic_fox,0.473584,False,wallaby,0.261411,False,white_wolf,0.0809478,False,2015-11-21 19:50:53+00:00,Fun dogs here. Top one clearly an athlete. Bottom one very stable. Not very soft tho. 9/10s would still cuddle both https://t.co/79sHR36NsI,9,10,None,,463,287
4,668171859951755264,https://pbs.twimg.com/media/CUXSwy8W4AA6uet.jpg,chihuahua,0.664834,True,cowboy_boot,0.060343,False,giant_panda,0.0598375,False,2015-11-21 20:59:20+00:00,This is a Trans Siberian Kellogg named Alfonso. Huge ass eyeballs. Actually Dobby from Harry Potter. 7/10 https://t.co/XpseHBlAAb,7,10,Alfonso,,451,173
5,668190681446379520,https://pbs.twimg.com/media/CUXj4SgXAAETlu6.jpg,blenheim_spaniel,0.958402,True,cocker_spaniel,0.0267643,True,welsh_springer_spaniel,0.00778991,True,2015-11-21 22:14:07+00:00,This is Skittles. I would kidnap Skittles. Pink dog in back hasn't moved in days. 12/10 https://t.co/2wm0POA9N2,12,10,Skittles,,604,185
6,668204964695683073,https://pbs.twimg.com/media/CUXw3qHWoAAk8HJ.jpg,labrador_retriever,0.65518,True,golden_retriever,0.107884,True,chesapeake_bay_retriever,0.0658347,True,2015-11-21 23:10:52+00:00,This is Ron. Ron's currently experiencing a brain freeze. Damn it Ron. 8/10 https://t.co/4ilfcR5SlK,8,10,Ron,,521,182
7,668221241640230912,https://pbs.twimg.com/media/CUX_rAyWsAYZOQ5.jpg,chow,0.395101,True,golden_retriever,0.372115,True,labrador_retriever,0.148785,True,2015-11-22 00:15:33+00:00,These two dogs are Bo &amp; Smittens. Smittens is trying out a new deodorant and wanted Bo to smell it. 10/10 true pals https://t.co/4pw1QQ6udh,10,10,None,,480,182
8,668226093875376128,https://pbs.twimg.com/media/CUYEFlQXAAUkPGm.jpg,trombone,0.390339,False,cornet,0.314149,False,french_horn,0.255182,False,2015-11-22 00:34:50+00:00,Sneaky dog here. Tuba player has no clue. 10/10 super sneaky https://t.co/jWVwSppaa2,10,10,None,,273,93
9,668237644992782336,https://pbs.twimg.com/media/CUYOl0kW4AAVe_p.jpg,chow,0.8093199999999999,True,minivan,0.07131069999999999,False,pekinese,0.0378696,True,2015-11-22 01:20:44+00:00,This is Torque. He served his nickel. Better not owe Torque money. Torque will find u. 10/10 cause I'm scared of him https://t.co/TnSRDqYO5i,10,10,Torque,,5767,2611
